"年月","販売額_百万円","店舗数_店"
"26年計","14276.0","69.0"
"27年計","16290.0","71.0"
"","",""
"27年_4","1361.0","69.0"
"27年_5","1457.0","69.0"
"27年_6","1432.0","69.0"
"27年_7","1359.0","69.0"
"27年_8","1333.0","69.0"
"27年_9","1273.0","69.0"
"27年_10","1364.0","70.0"
"27年_11","1338.0","70.0"
"27年_12","1468.0","71.0"
"28年_1","1424.0","70.0"
"28年_2","1378.0","70.0"
"28年_3","1487.0","70.0"
"28年_4","1493.0","71.0"
"","",""
"対前月増減率(％)","0.4","1.4"
"対前年同月増減率(％)","9.7","2.9"
